                                                                                                         Name                 Type                                                                                                                                                              Input Shapes                                                                                                          Output Shapes  Has Trainable Weights

######################## MIXED 5C ########################

                                                       Inception/Mixed_5c/Branch_0/Conv2d_0a_1x1/weights/read             Identity                                                                                                                                            [TensorShape([1, 1, 256, 64])]                                                                                         [TensorShape([1, 1, 256, 64])]                  False
                                                   Inception/Inception/Mixed_5c/Branch_0/Conv2d_0a_1x1/Conv2D               Conv2D                                                                                                      [TensorShape([None, None, None, 256]), TensorShape([1, 1, 256, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                Inception/Mixed_5c/Branch_0/Conv2d_0a_1x1/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                         Inception/Mixed_5c/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                     Inception/Mixed_5c/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                 Inception/Inception/Mixed_5c/Branch_0/Conv2d_0a_1x1/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]      [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]                  False
                                                     Inception/Inception/Mixed_5c/Branch_0/Conv2d_0a_1x1/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                       Inception/Mixed_5c/Branch_1/Conv2d_0b_1x1/weights/read             Identity                                                                                                                                            [TensorShape([1, 1, 256, 48])]                                                                                         [TensorShape([1, 1, 256, 48])]                  False
                                                   Inception/Inception/Mixed_5c/Branch_1/Conv2d_0b_1x1/Conv2D               Conv2D                                                                                                      [TensorShape([None, None, None, 256]), TensorShape([1, 1, 256, 48])]                                                                                  [TensorShape([None, None, None, 48])]                  False
                                                Inception/Mixed_5c/Branch_1/Conv2d_0b_1x1/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([48])]                                                                                                    [TensorShape([48])]                  False
                                         Inception/Mixed_5c/Branch_1/Conv2d_0b_1x1/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([48])]                                                                                                    [TensorShape([48])]                  False
                                     Inception/Mixed_5c/Branch_1/Conv2d_0b_1x1/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([48])]                                                                                                    [TensorShape([48])]                  False
                                 Inception/Inception/Mixed_5c/Branch_1/Conv2d_0b_1x1/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 48]), TensorShape([48]), TensorShape([48]), TensorShape([48]), TensorShape([48])]      [TensorShape([None, None, None, 48]), TensorShape([48]), TensorShape([48]), TensorShape([48]), TensorShape([48])]                  False
                                                     Inception/Inception/Mixed_5c/Branch_1/Conv2d_0b_1x1/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 48])]                                                                                  [TensorShape([None, None, None, 48])]                  False
                                                       Inception/Mixed_5c/Branch_1/Conv_1_0c_5x5/weights/read             Identity                                                                                                                                             [TensorShape([5, 5, 48, 64])]                                                                                          [TensorShape([5, 5, 48, 64])]                  False
                                                   Inception/Inception/Mixed_5c/Branch_1/Conv_1_0c_5x5/Conv2D               Conv2D                                                                                                        [TensorShape([None, None, None, 48]), TensorShape([5, 5, 48, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                Inception/Mixed_5c/Branch_1/Conv_1_0c_5x5/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                         Inception/Mixed_5c/Branch_1/Conv_1_0c_5x5/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                     Inception/Mixed_5c/Branch_1/Conv_1_0c_5x5/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                 Inception/Inception/Mixed_5c/Branch_1/Conv_1_0c_5x5/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]      [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]                  False
                                                     Inception/Inception/Mixed_5c/Branch_1/Conv_1_0c_5x5/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                       Inception/Mixed_5c/Branch_2/Conv2d_0a_1x1/weights/read             Identity                                                                                                                                            [TensorShape([1, 1, 256, 64])]                                                                                         [TensorShape([1, 1, 256, 64])]                  False
                                                   Inception/Inception/Mixed_5c/Branch_2/Conv2d_0a_1x1/Conv2D               Conv2D                                                                                                      [TensorShape([None, None, None, 256]), TensorShape([1, 1, 256, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                Inception/Mixed_5c/Branch_2/Conv2d_0a_1x1/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                         Inception/Mixed_5c/Branch_2/Conv2d_0a_1x1/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                     Inception/Mixed_5c/Branch_2/Conv2d_0a_1x1/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                 Inception/Inception/Mixed_5c/Branch_2/Conv2d_0a_1x1/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]      [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]                  False
                                                     Inception/Inception/Mixed_5c/Branch_2/Conv2d_0a_1x1/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                       Inception/Mixed_5c/Branch_2/Conv2d_0b_3x3/weights/read             Identity                                                                                                                                             [TensorShape([3, 3, 64, 96])]                                                                                          [TensorShape([3, 3, 64, 96])]                  False
                                                   Inception/Inception/Mixed_5c/Branch_2/Conv2d_0b_3x3/Conv2D               Conv2D                                                                                                        [TensorShape([None, None, None, 64]), TensorShape([3, 3, 64, 96])]                                                                                  [TensorShape([None, None, None, 96])]                  False
                                                Inception/Mixed_5c/Branch_2/Conv2d_0b_3x3/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                         Inception/Mixed_5c/Branch_2/Conv2d_0b_3x3/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                     Inception/Mixed_5c/Branch_2/Conv2d_0b_3x3/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                 Inception/Inception/Mixed_5c/Branch_2/Conv2d_0b_3x3/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 96]), TensorShape([96]), TensorShape([96]), TensorShape([96]), TensorShape([96])]      [TensorShape([None, None, None, 96]), TensorShape([96]), TensorShape([96]), TensorShape([96]), TensorShape([96])]                  False
                                                     Inception/Inception/Mixed_5c/Branch_2/Conv2d_0b_3x3/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 96])]                                                                                  [TensorShape([None, None, None, 96])]                  False
                                                       Inception/Mixed_5c/Branch_2/Conv2d_0c_3x3/weights/read             Identity                                                                                                                                             [TensorShape([3, 3, 96, 96])]                                                                                          [TensorShape([3, 3, 96, 96])]                  False
                                                   Inception/Inception/Mixed_5c/Branch_2/Conv2d_0c_3x3/Conv2D               Conv2D                                                                                                        [TensorShape([None, None, None, 96]), TensorShape([3, 3, 96, 96])]                                                                                  [TensorShape([None, None, None, 96])]                  False
                                                Inception/Mixed_5c/Branch_2/Conv2d_0c_3x3/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                         Inception/Mixed_5c/Branch_2/Conv2d_0c_3x3/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                     Inception/Mixed_5c/Branch_2/Conv2d_0c_3x3/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                 Inception/Inception/Mixed_5c/Branch_2/Conv2d_0c_3x3/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 96]), TensorShape([96]), TensorShape([96]), TensorShape([96]), TensorShape([96])]      [TensorShape([None, None, None, 96]), TensorShape([96]), TensorShape([96]), TensorShape([96]), TensorShape([96])]                  False
                                                     Inception/Inception/Mixed_5c/Branch_2/Conv2d_0c_3x3/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 96])]                                                                                  [TensorShape([None, None, None, 96])]                  False
                                                 Inception/Inception/Mixed_5c/Branch_3/AvgPool_0a_3x3/AvgPool              AvgPool                                                                                                                                    [TensorShape([None, None, None, 256])]                                                                                 [TensorShape([None, None, None, 256])]                  False
                                                       Inception/Mixed_5c/Branch_3/Conv2d_0b_1x1/weights/read             Identity                                                                                                                                            [TensorShape([1, 1, 256, 64])]                                                                                         [TensorShape([1, 1, 256, 64])]                  False
                                                   Inception/Inception/Mixed_5c/Branch_3/Conv2d_0b_1x1/Conv2D               Conv2D                                                                                                      [TensorShape([None, None, None, 256]), TensorShape([1, 1, 256, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                Inception/Mixed_5c/Branch_3/Conv2d_0b_1x1/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                         Inception/Mixed_5c/Branch_3/Conv2d_0b_1x1/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                     Inception/Mixed_5c/Branch_3/Conv2d_0b_1x1/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                 Inception/Inception/Mixed_5c/Branch_3/Conv2d_0b_1x1/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]      [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]                  False
                                                     Inception/Inception/Mixed_5c/Branch_3/Conv2d_0b_1x1/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                                          Inception/Inception/Mixed_5c/concat             ConcatV2     [TensorShape([None, None, None, 64]), TensorShape([None, None, None, 64]), TensorShape([None, None, None, 96]), TensorShape([None, None, None, 64]), TensorShape([])]                                                                                 [TensorShape([None, None, None, 288])]                  False

######################## MIXED 5D ########################
######################## BRANCH 0 ########################
                                                       Inception/Mixed_5d/Branch_0/Conv2d_0a_1x1/weights/read             Identity                                                                                                                                            [TensorShape([1, 1, 288, 64])]                                                                                         [TensorShape([1, 1, 288, 64])]                  False
                                                   Inception/Inception/Mixed_5d/Branch_0/Conv2d_0a_1x1/Conv2D               Conv2D                                                                                                      [TensorShape([None, None, None, 288]), TensorShape([1, 1, 288, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                Inception/Mixed_5d/Branch_0/Conv2d_0a_1x1/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                         Inception/Mixed_5d/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                     Inception/Mixed_5d/Branch_0/Conv2d_0a_1x1/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                 Inception/Inception/Mixed_5d/Branch_0/Conv2d_0a_1x1/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]      [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]                  False
                                                     Inception/Inception/Mixed_5d/Branch_0/Conv2d_0a_1x1/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
######################## BRANCH 1 ########################
                                                       Inception/Mixed_5d/Branch_1/Conv2d_0a_1x1/weights/read             Identity                                                                                                                                            [TensorShape([1, 1, 288, 48])]                                                                                         [TensorShape([1, 1, 288, 48])]                  False
                                                   Inception/Inception/Mixed_5d/Branch_1/Conv2d_0a_1x1/Conv2D               Conv2D                                                                                                      [TensorShape([None, None, None, 288]), TensorShape([1, 1, 288, 48])]                                                                                  [TensorShape([None, None, None, 48])]                  False
                                                Inception/Mixed_5d/Branch_1/Conv2d_0a_1x1/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([48])]                                                                                                    [TensorShape([48])]                  False
                                         Inception/Mixed_5d/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([48])]                                                                                                    [TensorShape([48])]                  False
                                     Inception/Mixed_5d/Branch_1/Conv2d_0a_1x1/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([48])]                                                                                                    [TensorShape([48])]                  False
                                 Inception/Inception/Mixed_5d/Branch_1/Conv2d_0a_1x1/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 48]), TensorShape([48]), TensorShape([48]), TensorShape([48]), TensorShape([48])]      [TensorShape([None, None, None, 48]), TensorShape([48]), TensorShape([48]), TensorShape([48]), TensorShape([48])]                  False
                                                     Inception/Inception/Mixed_5d/Branch_1/Conv2d_0a_1x1/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 48])]                                                                                  [TensorShape([None, None, None, 48])]                  False
                                                       Inception/Mixed_5d/Branch_1/Conv2d_0b_5x5/weights/read             Identity                                                                                                                                             [TensorShape([5, 5, 48, 64])]                                                                                          [TensorShape([5, 5, 48, 64])]                  False
                                                   Inception/Inception/Mixed_5d/Branch_1/Conv2d_0b_5x5/Conv2D               Conv2D                                                                                                        [TensorShape([None, None, None, 48]), TensorShape([5, 5, 48, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                Inception/Mixed_5d/Branch_1/Conv2d_0b_5x5/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                         Inception/Mixed_5d/Branch_1/Conv2d_0b_5x5/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                     Inception/Mixed_5d/Branch_1/Conv2d_0b_5x5/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                 Inception/Inception/Mixed_5d/Branch_1/Conv2d_0b_5x5/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]      [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]                  False
                                                     Inception/Inception/Mixed_5d/Branch_1/Conv2d_0b_5x5/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
######################## BRANCH 2 ########################
                                                       Inception/Mixed_5d/Branch_2/Conv2d_0a_1x1/weights/read             Identity                                                                                                                                            [TensorShape([1, 1, 288, 64])]                                                                                         [TensorShape([1, 1, 288, 64])]                  False
                                                   Inception/Inception/Mixed_5d/Branch_2/Conv2d_0a_1x1/Conv2D               Conv2D                                                                                                      [TensorShape([None, None, None, 288]), TensorShape([1, 1, 288, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                Inception/Mixed_5d/Branch_2/Conv2d_0a_1x1/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                         Inception/Mixed_5d/Branch_2/Conv2d_0a_1x1/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                     Inception/Mixed_5d/Branch_2/Conv2d_0a_1x1/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                 Inception/Inception/Mixed_5d/Branch_2/Conv2d_0a_1x1/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]      [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]                  False
                                                     Inception/Inception/Mixed_5d/Branch_2/Conv2d_0a_1x1/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                       Inception/Mixed_5d/Branch_2/Conv2d_0b_3x3/weights/read             Identity                                                                                                                                             [TensorShape([3, 3, 64, 96])]                                                                                          [TensorShape([3, 3, 64, 96])]                  False
                                                   Inception/Inception/Mixed_5d/Branch_2/Conv2d_0b_3x3/Conv2D               Conv2D                                                                                                        [TensorShape([None, None, None, 64]), TensorShape([3, 3, 64, 96])]                                                                                  [TensorShape([None, None, None, 96])]                  False
                                                Inception/Mixed_5d/Branch_2/Conv2d_0b_3x3/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                         Inception/Mixed_5d/Branch_2/Conv2d_0b_3x3/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                     Inception/Mixed_5d/Branch_2/Conv2d_0b_3x3/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                 Inception/Inception/Mixed_5d/Branch_2/Conv2d_0b_3x3/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 96]), TensorShape([96]), TensorShape([96]), TensorShape([96]), TensorShape([96])]      [TensorShape([None, None, None, 96]), TensorShape([96]), TensorShape([96]), TensorShape([96]), TensorShape([96])]                  False
                                                     Inception/Inception/Mixed_5d/Branch_2/Conv2d_0b_3x3/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 96])]                                                                                  [TensorShape([None, None, None, 96])]                  False
                                                       Inception/Mixed_5d/Branch_2/Conv2d_0c_3x3/weights/read             Identity                                                                                                                                             [TensorShape([3, 3, 96, 96])]                                                                                          [TensorShape([3, 3, 96, 96])]                  False
                                                   Inception/Inception/Mixed_5d/Branch_2/Conv2d_0c_3x3/Conv2D               Conv2D                                                                                                        [TensorShape([None, None, None, 96]), TensorShape([3, 3, 96, 96])]                                                                                  [TensorShape([None, None, None, 96])]                  False
                                                Inception/Mixed_5d/Branch_2/Conv2d_0c_3x3/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                         Inception/Mixed_5d/Branch_2/Conv2d_0c_3x3/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                     Inception/Mixed_5d/Branch_2/Conv2d_0c_3x3/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([96])]                                                                                                    [TensorShape([96])]                  False
                                 Inception/Inception/Mixed_5d/Branch_2/Conv2d_0c_3x3/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 96]), TensorShape([96]), TensorShape([96]), TensorShape([96]), TensorShape([96])]      [TensorShape([None, None, None, 96]), TensorShape([96]), TensorShape([96]), TensorShape([96]), TensorShape([96])]                  False
                                                     Inception/Inception/Mixed_5d/Branch_2/Conv2d_0c_3x3/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 96])]                                                                                  [TensorShape([None, None, None, 96])]                  False
######################## BRANCH 3 ########################
                                                 Inception/Inception/Mixed_5d/Branch_3/AvgPool_0a_3x3/AvgPool              AvgPool                                                                                                                                    [TensorShape([None, None, None, 288])]                                                                                 [TensorShape([None, None, None, 288])]                  False
                                                       Inception/Mixed_5d/Branch_3/Conv2d_0b_1x1/weights/read             Identity                                                                                                                                            [TensorShape([1, 1, 288, 64])]                                                                                         [TensorShape([1, 1, 288, 64])]                  False
                                                   Inception/Inception/Mixed_5d/Branch_3/Conv2d_0b_1x1/Conv2D               Conv2D                                                                                                      [TensorShape([None, None, None, 288]), TensorShape([1, 1, 288, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
                                                Inception/Mixed_5d/Branch_3/Conv2d_0b_1x1/BatchNorm/beta/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                         Inception/Mixed_5d/Branch_3/Conv2d_0b_1x1/BatchNorm/moving_mean/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                     Inception/Mixed_5d/Branch_3/Conv2d_0b_1x1/BatchNorm/moving_variance/read             Identity                                                                                                                                                       [TensorShape([64])]                                                                                                    [TensorShape([64])]                  False
                                 Inception/Inception/Mixed_5d/Branch_3/Conv2d_0b_1x1/BatchNorm/FusedBatchNorm       FusedBatchNorm                                                         [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]      [TensorShape([None, None, None, 64]), TensorShape([64]), TensorShape([64]), TensorShape([64]), TensorShape([64])]                  False
                                                     Inception/Inception/Mixed_5d/Branch_3/Conv2d_0b_1x1/Relu                 Relu                                                                                                                                     [TensorShape([None, None, None, 64])]                                                                                  [TensorShape([None, None, None, 64])]                  False
